    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 4.109e-06 |
  2 |   2                3 1.205e-06 |
  3 |   3                6 1.086e-06 |
  4 |   4                8 7.420e-07 |
  5 |   5               10 7.400e-07 |
  6 |   5               18 9.690e-07 |
  7 |   6               31 1.420e-06 |
  8 |   6               50 1.326e-06 |
  9 |   7               82 1.701e-06 |
 10 |   7              133 2.146e-06 |
 11 |   8              216 1.010e-05 |
 12 |   8              363 5.886e-06 |
 13 |   8              600 7.909e-06 |
 14 |   9              997 1.269e-05 |
 15 |   9             1663 2.023e-05 |
 16 |   9             2765 3.522e-05 |
 17 |  10             4610 5.228e-05 |
 18 |  10             7679 1.161e-04 |
 19 |  10            12792 1.655e-04 |
 20 |  10            21342 2.544e-04 |
 21 |  11            35577 3.954e-04 |
 22 |  11            59336 5.406e-04 |
 23 |  11            98957 9.095e-04 |
 24 |  11           164809 1.470e-03 |
 25 |  12           274735 2.487e-03 |
 26 |  12           457941 4.413e-03 |
 27 |  12           762481 7.829e-03 |
 28 |  13          1270694 1.204e-02 |
 29 |  13          2117333 2.041e-02 |
 30 |  13          3528302 3.351e-02 |
 31 |  14          5879239 5.415e-02 |
 32 |  14          9796645 8.892e-02 |
 33 |  14         16324372 1.455e-01 |
 34 |  15         27201260 2.411e-01 |
 35 |  15         45325705 4.013e-01 |
 36 |  15         75526390 6.713e-01 |
 37 |  16        125849744 1.112e+00 |
 38 |  16        209703934 1.858e+00 |
 39 |  16        349429991 3.092e+00 |
 40 |  17        582256019 5.350e+00 |
 41 |  17        970214495 8.589e+00 |
 42 |  17       1616670181 1.461e+01 |
 43 |  18       2693860960 2.406e+01 |
 44 |  18       4488785683 4.059e+01 |
 45 |  18       7479672338 6.763e+01 |
 46 |  19      12481285051 1.126e+02 |
 47 |  19      20815481558 1.884e+02 |
 48 |  19      34653090813 3.139e+02 |
 49 |  20      57663019432 5.247e+02 |
 50 |  20      89140779626 8.488e+02 |
 55 |  22     979931247293 7.694e+03 |
 60 |                                |
 65 |                                |
 70 |                                |
 75 |                                |
 80 |                                |
 85 |                                |
 90 |                                |
 95 |                                |
100 |                                |
110 |                                |
120 |                                |
130 |                                |
140 |                                |
150 |                                |
160 |                                |
170 |                                |
180 |                                |
190 |                                |
200 |                                |
220 |                                |
240 |                                |
260 |                                |
280 |                                |
300 |                                |
320 |                                |
340 |                                |
360 |                                |
380 |                                |
400 |                                |
420 |                                |
440 |                                |
460 |                                |
480 |                                |
500 |                                |
520 |                                |
540 |                                |
560 |                                |
580 |                                |
600 |                                |
620 |                                |
640 |                                |
660 |                                |
680 |                                |
700 |                                |
720 |                                |
740 |                                |
760 |                                |
780 |                                |
800 |                                |
--- + --- ---------------- --------- +
