    + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
    |               Plain recursion1 |               Plain recursion2 |                Plain iterative |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  n | sol            count  cpu time | sol            count  cpu time | sol            count  cpu time |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  1 |   1                2 7.000e-07 |   1                2 1.800e-06 |   1                6 9.000e-07 |
  2 |   2                3 8.000e-07 |   2                3 4.000e-07 |   2                9 3.000e-07 |
  3 |   3                5 9.000e-07 |   3                5 6.000e-07 |   3               12 4.000e-07 |
  4 |   3                8 1.000e-06 |   3                8 7.000e-07 |   3               11 3.000e-07 |
  5 |   4               13 1.100e-06 |   4               12 1.100e-06 |   4               14 4.000e-07 |
  6 |   4               22 1.300e-06 |   4               20 1.200e-06 |   4               15 4.000e-07 |
  7 |   5               36 1.400e-06 |   5               33 1.400e-06 |   5               18 4.000e-07 |
  8 |   5               60 1.900e-06 |   5               55 2.000e-06 |   5               19 4.000e-07 |
  9 |   5              100 2.100e-06 |   5               91 2.400e-06 |   5               17 4.000e-07 |
 10 |   6              167 3.100e-06 |   6              150 5.700e-06 |   6               20 1.100e-06 |
 11 |   6              279 4.900e-06 |   6              249 5.300e-06 |   6               21 5.000e-07 |
 12 |   6              465 6.000e-06 |   6              415 7.100e-06 |   6               22 5.000e-07 |
 13 |   7              777 9.100e-06 |   7              692 1.110e-05 |   7               25 4.000e-07 |
 14 |   7             1297 1.640e-05 |   7             1153 1.780e-05 |   7               26 6.000e-07 |
 15 |   7             2165 2.380e-05 |   7             1923 2.830e-05 |   7               27 5.000e-07 |
 16 |   7             3614 3.980e-05 |   7             3207 4.460e-05 |   7               24 5.000e-07 |
 17 |   8             6031 6.410e-05 |   8             5347 7.260e-05 |   8               27 5.000e-07 |
 18 |   8            10065 1.062e-04 |   8             8918 1.188e-04 |   8               28 7.000e-07 |
 19 |   8            16795 1.788e-04 |   8            14874 2.139e-04 |   8               29 5.000e-07 |
 20 |   8            28024 2.880e-04 |   8            24812 3.212e-04 |   8               30 1.200e-06 |
 21 |   9            46758 4.792e-04 |   9            41388 6.307e-04 |   9               33 6.000e-07 |
 22 |   9            78011 8.249e-04 |   9            69040 8.921e-04 |   9               34 7.000e-07 |
 23 |   9           130089 1.419e-03 |   9           115171 1.494e-03 |   9               35 7.000e-07 |
 24 |   9           216968 2.225e-03 |   9           192124 2.598e-03 |   9               36 7.000e-07 |
 25 |   9           359706 3.660e-03 |   9           320497 4.168e-03 |   9               32 6.000e-07 |
 26 |  10           597823 6.141e-03 |  10           534647 6.940e-03 |  10               35 6.000e-07 |
 27 |  10           995046 1.032e-02 |  10           891872 1.162e-02 |  10               36 7.000e-07 |
 28 |  10          1655498 1.721e-02 |  10          1483987 2.068e-02 |  10               37 7.000e-07 |
 29 |  10          2757259 2.860e-02 |  10          2471688 3.320e-02 |  10               38 7.000e-07 |
 30 |  10          4593012 5.058e-02 |  10          4117456 5.833e-02 |  10               39 7.000e-07 |
 31 |  11          7651017 8.029e-02 |  11          6859871 9.027e-02 |  11               42 8.000e-07 |
 32 |  11         12747967 1.328e-01 |  11         11432554 1.501e-01 |  11               43 1.000e-06 |
 33 |  11         21239691 2.204e-01 |  11         19051890 2.552e-01 |  11               44 9.000e-07 |
 34 |  12         35390165 3.820e-01 |  12         31744860 4.286e-01 |  12               48 1.000e-06 |
 35 |  12         58969547 6.297e-01 |  12         52897235 7.194e-01 |  12               50 1.300e-06 |
 36 |  12         98258424 1.029e+00 |  12         88143972 1.179e+00 |  12               52 1.100e-06 |
 37 |  13        163727428 1.778e+00 |  13        146874304 1.991e+00 |  13               56 1.000e-06 |
 38 |  13        272817267 2.866e+00 |  13        244738097 3.263e+00 |  13               57 1.000e-06 |
 39 |  13        454593881 4.739e+00 |  13        407807248 5.435e+00 |  13               59 1.100e-06 |
 40 |  14        757489987 7.919e+00 |  14        679530817 9.184e+00 |  14               63 1.200e-06 |
 41 |  14       1262204160 1.322e+01 |  14       1132304623 1.530e+01 |  14               65 1.200e-06 |
 42 |  14       2114047092 2.232e+01 |  14       1886760619 2.538e+01 |  14               66 1.100e-06 |
 43 |  15       3533472456 3.692e+01 |  15       3143914507 4.182e+01 |  15               70 1.200e-06 |
 44 |  15       5898663878 6.239e+01 |  15       5238710835 6.992e+01 |  15               71 1.300e-06 |
 45 |  15       9850621736 1.035e+02 |  15       8750943600 1.190e+02 |  15               72 1.300e-06 |
 46 |  16      16352251531 1.736e+02 |  16      14603382558 1.973e+02 |  16               76 1.900e-06 |
 47 |  16      27196767437 2.873e+02 |  16      24366147466 3.293e+02 |  16               77 1.300e-06 |
 48 |  16      45288671397 4.790e+02 |  16      40644692643 5.476e+02 |  16               78 1.200e-06 |
 49 |  16      75373390362 7.942e+02 |  16      67613455293 9.215e+02 |  16               75 1.400e-06 |
 50 |  17     125557790155 1.325e+03 |  17     112594892033 1.520e+03 |  17               78 2.160e-05 |
