    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.162e-06 |
  2 |   2                3 8.100e-07 |
  3 |   3                4 6.420e-07 |
  4 |   3                4 6.770e-07 |
  5 |   4                5 6.270e-07 |
  6 |   4                5 5.940e-07 |
  7 |   5                6 6.980e-07 |
  8 |   5                6 6.540e-07 |
  9 |   5                6 6.580e-07 |
 10 |   6                7 5.950e-07 |
 11 |   6                7 9.160e-07 |
 12 |   6                7 6.140e-07 |
 13 |   7                8 5.770e-07 |
 14 |   7                8 5.410e-07 |
 15 |   7                8 5.670e-07 |
 16 |   7                8 5.620e-07 |
 17 |   8                9 5.390e-07 |
 18 |   8                9 5.460e-07 |
 19 |   8                9 5.380e-07 |
 20 |   8                9 5.820e-07 |
 21 |   9               10 1.000e-06 |
 22 |   9               10 6.400e-07 |
 23 |   9               10 5.930e-07 |
 24 |   9               10 5.730e-07 |
 25 |   9               10 5.640e-07 |
 26 |  10               11 5.650e-07 |
 27 |  10               11 5.470e-07 |
 28 |  10               11 5.550e-07 |
 29 |  10               11 2.187e-05 |
 30 |  10               11 6.080e-07 |
 31 |  11               12 5.810e-07 |
 32 |  11               12 5.800e-07 |
 33 |  11               12 5.870e-07 |
 34 |  12               13 6.500e-07 |
 35 |  12               13 6.430e-07 |
 36 |  12               13 6.850e-07 |
 37 |  13               14 6.670e-07 |
 38 |  13               14 6.420e-07 |
 39 |  13               14 7.210e-07 |
 40 |  14               15 6.410e-07 |
 41 |  14               15 7.060e-07 |
 42 |  14               15 6.460e-07 |
 43 |  15               16 6.440e-07 |
 44 |  15               16 6.350e-07 |
 45 |  15               16 6.290e-07 |
 46 |  16               17 6.410e-07 |
 47 |  16               17 6.390e-07 |
 48 |  16               17 1.712e-05 |
 49 |  16               17 6.240e-07 |
 50 |  17               18 6.160e-07 |
 55 |  19               20 1.244e-06 |
 60 |  21               22 9.090e-07 |
 65 |  23               24 7.980e-07 |
 70 |  25               26 7.770e-07 |
 75 |  26               27 7.600e-07 |
 80 |  27               28 7.890e-07 |
 85 |  28               29 7.270e-07 |
 90 |  30               31 8.120e-07 |
 95 |  32               33 9.630e-07 |
100 |  35               36 1.005e-06 |
110 |  39               40 1.902e-06 |
120 |  42               43 1.378e-06 |
130 |  44               45 1.184e-06 |
140 |  46               47 1.154e-06 |
150 |  48               49 1.070e-06 |
160 |  52               53 1.156e-06 |
170 |  57               58 1.212e-06 |
180 |  60               61 2.232e-05 |
190 |  62               63 1.198e-06 |
200 |  64               65 1.191e-06 |
220 |  70               71 2.821e-06 |
240 |  77               78 2.001e-06 |
260 |  81               82 1.838e-05 |
280 |  88               89 1.752e-06 |
300 |  96               97 1.772e-06 |
320 | 101              102 1.900e-06 |
340 | 111              112 1.941e-06 |
360 | 115              116 1.916e-06 |
380 | 120              121 1.996e-06 |
400 | 128              129 2.162e-06 |
420 | 134              135 4.241e-06 |
440 | 139              140 3.121e-06 |
460 | 147              148 2.790e-06 |
480 | 152              153 2.487e-06 |
500 | 159              160 2.621e-06 |
520 | 166              167 2.641e-06 |
540 | 171              172 2.603e-06 |
560 | 178              179 2.426e-05 |
580 | 185              186 2.964e-06 |
600 | 189              190 2.845e-06 |
620 | 195              196 3.103e-06 |
640 | 203              204 3.048e-06 |
660 | 208              209 3.115e-06 |
680 | 214              215 3.302e-06 |
700 | 222              223 3.446e-06 |
720 | 227              228 3.424e-06 |
740 | 236              237 3.622e-06 |
760 | 241              242 3.559e-06 |
780 | 244              245 2.007e-05 |
800 | 253              254 3.670e-06 |
820 | 259              260 6.945e-06 |
840 | 263              264 5.170e-06 |
860 | 272              273 2.793e-05 |
880 | 277              278 4.430e-06 |
900 | 282              283 4.482e-06 |
920 | 291              292 4.539e-06 |
940 | 295              296 2.679e-05 |
960 | 303              304 2.601e-05 |
980 | 310              311 2.262e-05 |
1000 | 314              315 4.602e-06 |
1020 | 320              321 4.647e-06 |
1040 | 328              329 2.124e-05 |
1060 | 332              333 4.590e-06 |
1080 | 338              339 4.834e-06 |
1100 | 346              347 4.949e-06 |
1120 | 350              351 4.910e-06 |
1140 | 358              359 5.169e-06 |
1160 | 364              365 4.912e-06 |
1180 | 368              369 2.655e-05 |
1200 | 377              378 5.450e-06 |
1220 | 382              383 5.397e-06 |
1240 | 386              387 5.412e-06 |
1260 | 395              396 5.704e-06 |
1280 | 400              401 5.755e-06 |
1300 | 405              406 5.756e-06 |
1320 | 413              414 5.923e-06 |
1340 | 418              419 5.928e-06 |
1360 | 427              428 6.081e-06 |
1380 | 433              434 6.156e-06 |
1400 | 437              438 6.255e-06 |
1420 | 444              445 6.213e-06 |
1440 | 452              453 6.275e-06 |
1460 | 456              457 6.369e-06 |
1480 | 464              465 6.559e-06 |
1500 | 471              472 6.839e-06 |
1520 | 475              476 6.696e-06 |
1540 | 481              482 6.954e-06 |
1560 | 488              489 6.871e-06 |
1580 | 494              495 6.965e-06 |
1600 | 503              504 7.116e-06 |
1620 | 507              508 7.088e-06 |
1640 | 511              512 7.168e-06 |
1660 | 521              522 7.292e-06 |
1680 | 525              526 7.473e-06 |
1700 | 531              532 7.422e-06 |
1720 | 538              539 7.748e-06 |
1740 | 543              544 7.655e-06 |
1760 | 551              552 7.962e-06 |
1780 | 558              559 7.946e-06 |
1800 | 562              563 7.979e-06 |
1820 | 570              571 8.139e-06 |
1840 | 576              577 8.440e-06 |
1860 | 580              581 8.539e-06 |
1880 | 587              588 8.623e-06 |
1900 | 593              594 8.712e-06 |
1920 | 598              599 8.697e-06 |
1940 | 605              606 8.840e-06 |
1960 | 612              613 8.916e-06 |
1980 | 618              619 8.952e-06 |
2000 | 627              628 9.178e-06 |
2020 | 631              632 9.301e-06 |
