    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.056e-06 |
  2 |   2                3 6.790e-07 |
  3 |   3                4 8.800e-07 |
  4 |   3                4 6.260e-07 |
  5 |   4                5 5.940e-07 |
  6 |   4                5 6.830e-07 |
  7 |   5                6 5.620e-07 |
  8 |   5                6 5.720e-07 |
  9 |   5                6 7.920e-07 |
 10 |   6                7 5.880e-07 |
 11 |   6                7 1.110e-06 |
 12 |   6                7 7.430e-07 |
 13 |   7                8 6.810e-07 |
 14 |   7                8 9.900e-07 |
 15 |   7                8 8.480e-07 |
 16 |   7                8 6.650e-07 |
 17 |   8                9 6.180e-07 |
 18 |   8                9 7.950e-07 |
 19 |   8                9 8.020e-07 |
 20 |   8                9 8.690e-07 |
 21 |   9               10 1.298e-06 |
 22 |   9               10 8.000e-07 |
 23 |   9               10 7.360e-07 |
 24 |   9               10 6.970e-07 |
 25 |   9               10 6.820e-07 |
 26 |  10               11 6.770e-07 |
 27 |  10               11 8.330e-07 |
 28 |  10               11 8.960e-07 |
 29 |  10               11 7.740e-07 |
 30 |  10               11 7.320e-07 |
 31 |  11               12 8.470e-07 |
 32 |  11               12 8.610e-07 |
 33 |  11               12 8.660e-07 |
 34 |  12               13 9.420e-07 |
 35 |  12               13 7.540e-07 |
 36 |  12               13 9.560e-07 |
 37 |  13               14 9.320e-07 |
 38 |  13               14 7.400e-07 |
 39 |  13               14 9.950e-07 |
 40 |  14               15 9.360e-07 |
 41 |  14               15 1.054e-06 |
 42 |  14               15 7.540e-07 |
 43 |  15               16 7.820e-07 |
 44 |  15               16 9.470e-07 |
 45 |  15               16 9.700e-07 |
 46 |  16               17 9.450e-07 |
 47 |  16               17 8.000e-07 |
 48 |  16               17 7.820e-07 |
 49 |  16               17 9.770e-07 |
 50 |  17               18 1.066e-06 |
 55 |  19               20 1.485e-06 |
 60 |  21               22 1.098e-06 |
 65 |  23               24 1.241e-06 |
 70 |  25               26 1.314e-06 |
 75 |  26               27 1.106e-06 |
 80 |  27               28 1.182e-06 |
 85 |  28               29 1.209e-06 |
 90 |  30               31 1.267e-06 |
 95 |  32               33 1.476e-06 |
100 |  35               36 1.341e-06 |
110 |  39               40 2.217e-06 |
120 |  42               43 1.701e-06 |
130 |  44               45 1.527e-06 |
140 |  46               47 1.669e-06 |
150 |  48               49 1.484e-06 |
160 |  52               53 1.692e-06 |
170 |  57               58 1.853e-06 |
180 |  60               61 1.939e-06 |
190 |  62               63 1.844e-06 |
200 |  64               65 1.657e-06 |
220 |  70               71 3.328e-06 |
240 |  77               78 2.658e-06 |
260 |  81               82 1.895e-06 |
280 |  88               89 2.557e-06 |
300 |  96               97 2.853e-06 |
320 | 101              102 2.906e-06 |
340 | 111              112 2.818e-06 |
360 | 115              116 2.782e-06 |
380 | 120              121 9.704e-06 |
400 | 128              129 2.958e-06 |
420 | 134              135 4.899e-06 |
440 | 139              140 4.060e-06 |
460 | 147              148 4.053e-06 |
480 | 152              153 3.681e-06 |
500 | 159              160 3.944e-06 |
520 | 166              167 3.515e-06 |
540 | 171              172 4.267e-06 |
560 | 178              179 1.047e-05 |
580 | 185              186 3.761e-06 |
600 | 189              190 4.086e-06 |
620 | 195              196 4.682e-06 |
640 | 203              204 4.819e-06 |
660 | 208              209 4.602e-06 |
680 | 214              215 4.849e-06 |
700 | 222              223 4.972e-06 |
720 | 227              228 5.043e-06 |
740 | 236              237 5.232e-06 |
760 | 241              242 5.056e-06 |
780 | 244              245 5.198e-06 |
800 | 253              254 5.483e-06 |
820 | 259              260 8.338e-06 |
840 | 263              264 7.008e-06 |
860 | 272              273 6.174e-06 |
880 | 277              278 6.413e-06 |
900 | 282              283 5.831e-06 |
920 | 291              292 6.290e-06 |
940 | 295              296 6.213e-06 |
960 | 303              304 6.426e-06 |
980 | 310              311 6.383e-06 |
1000 | 314              315 6.453e-06 |
1020 | 320              321 6.547e-06 |
1040 | 328              329 6.813e-06 |
1060 | 332              333 6.641e-06 |
1080 | 338              339 6.862e-06 |
1100 | 346              347 6.914e-06 |
1120 | 350              351 6.909e-06 |
1140 | 358              359 7.442e-06 |
1160 | 364              365 7.302e-06 |
1180 | 368              369 7.440e-06 |
1200 | 377              378 7.506e-06 |
1220 | 382              383 7.519e-06 |
1240 | 386              387 8.158e-06 |
1260 | 395              396 8.070e-06 |
1280 | 400              401 8.094e-06 |
1300 | 405              406 8.404e-06 |
1320 | 413              414 8.309e-06 |
1340 | 418              419 8.309e-06 |
1360 | 427              428 8.537e-06 |
1380 | 433              434 8.901e-06 |
1400 | 437              438 9.142e-06 |
1420 | 444              445 8.934e-06 |
1440 | 452              453 9.029e-06 |
1460 | 456              457 8.987e-06 |
1480 | 464              465 9.721e-06 |
1500 | 471              472 9.281e-06 |
1520 | 475              476 9.409e-06 |
1540 | 481              482 9.602e-06 |
1560 | 488              489 9.589e-06 |
1580 | 494              495 9.723e-06 |
1600 | 503              504 9.709e-06 |
1620 | 507              508 9.713e-06 |
1640 | 511              512 9.709e-06 |
1660 | 521              522 9.942e-06 |
1680 | 525              526 1.002e-05 |
1700 | 531              532 1.028e-05 |
1720 | 538              539 1.025e-05 |
1740 | 543              544 1.027e-05 |
1760 | 551              552 1.052e-05 |
1780 | 558              559 1.047e-05 |
1800 | 562              563 1.057e-05 |
1820 | 570              571 1.064e-05 |
1840 | 576              577 1.074e-05 |
1860 | 580              581 1.086e-05 |
1880 | 587              588 1.087e-05 |
1900 | 593              594 1.118e-05 |
1920 | 598              599 1.112e-05 |
1940 | 605              606 1.123e-05 |
1960 | 612              613 1.138e-05 |
1980 | 618              619 1.140e-05 |
2000 | 627              628 1.166e-05 |
2020 | 631              632 1.143e-05 |
