    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                6 2.600e-06 |
  2 |   2                9 1.000e-06 |
  3 |   3               12 2.400e-06 |
  4 |   3               11 8.000e-07 |
  5 |   4               14 8.000e-07 |
  6 |   4               15 1.000e-06 |
  7 |   5               18 9.000e-07 |
  8 |   5               19 9.000e-07 |
  9 |   5               17 7.000e-07 |
 10 |   6               20 1.000e-06 |
 11 |   6               21 1.200e-06 |
 12 |   6               22 1.000e-06 |
 13 |   7               25 8.000e-07 |
 14 |   7               26 9.000e-07 |
 15 |   7               27 9.000e-07 |
 16 |   7               24 1.400e-06 |
 17 |   8               27 9.000e-07 |
 18 |   8               28 8.000e-07 |
 19 |   8               29 9.000e-07 |
 20 |   8               30 9.000e-07 |
 21 |   9               33 1.200e-06 |
 22 |   9               34 9.000e-07 |
 23 |   9               35 9.000e-07 |
 24 |   9               36 9.000e-07 |
 25 |   9               32 9.000e-07 |
 26 |  10               35 9.000e-07 |
 27 |  10               36 9.000e-07 |
 28 |  10               37 9.000e-07 |
 29 |  11               41 1.100e-06 |
 30 |  11               44 1.000e-06 |
 31 |  11               45 1.400e-06 |
 32 |  12               49 1.100e-06 |
 33 |  12               50 1.000e-06 |
 34 |  12               52 1.100e-06 |
 35 |  12               49 1.800e-06 |
 36 |  13               54 1.300e-06 |
 37 |  13               55 1.100e-06 |
 38 |  13               56 1.500e-06 |
 39 |  14               60 1.100e-06 |
 40 |  14               61 1.000e-06 |
 41 |  14               62 1.300e-06 |
 42 |  15               66 1.500e-06 |
 43 |  15               67 1.400e-06 |
 44 |  15               69 1.400e-06 |
 45 |  16               73 1.200e-06 |
 46 |  16               74 1.100e-06 |
 47 |  16               75 1.100e-06 |
 48 |  17               79 1.400e-06 |
 49 |  17               80 1.100e-06 |
 50 |  17               81 1.400e-06 |
 55 |  20               97 2.400e-06 |
 60 |  22              105 2.600e-06 |
 65 |  23              110 1.900e-06 |
 70 |  25              120 1.500e-06 |
 75 |  26              123 1.400e-06 |
 80 |  27              130 1.700e-06 |
 85 |  28              132 1.500e-06 |
 90 |  29              139 1.500e-06 |
 95 |  31              153 2.300e-06 |
100 |  34              172 2.300e-06 |
110 |  38              191 3.300e-06 |
120 |  41              204 2.800e-06 |
130 |  43              213 2.900e-06 |
140 |  45              228 2.500e-06 |
150 |  47              244 2.200e-06 |
160 |  51              263 3.300e-06 |
170 |  56              291 4.700e-06 |
180 |  59              300 2.600e-06 |
190 |  61              309 3.300e-06 |
200 |  63              317 3.100e-06 |
220 |  69              364 4.000e-06 |
240 |  76              395 4.100e-06 |
260 |  80              412 3.100e-06 |
280 |  87              460 6.400e-06 |
300 |  95              492 4.300e-06 |
320 |  99              509 5.200e-06 |
340 | 108              559 4.100e-06 |
360 | 112              578 6.000e-06 |
380 | 116              605 5.700e-06 |
400 | 125              654 5.500e-06 |
420 | 130              673 7.400e-06 |
440 | 136              713 7.500e-06 |
460 | 143              756 7.600e-06 |
480 | 148              776 5.600e-06 |
500 | 155              814 8.700e-06 |
520 | 163              855 5.900e-06 |
540 | 168              877 5.800e-06 |
560 | 175              921 6.100e-06 |
580 | 181              949 6.100e-06 |
600 | 185              973 6.500e-06 |
620 | 192             1013 6.600e-06 |
640 | 200             1049 7.800e-06 |
660 | 205             1081 7.000e-06 |
680 | 211             1116 1.180e-05 |
700 | 220             1161 1.040e-05 |
720 | 225             1183 1.230e-05 |
740 | 234             1237 1.250e-05 |
760 | 239             1258 1.210e-05 |
780 | 243             1289 8.500e-06 |
800 | 253             1348 8.700e-06 |
--- + --- ---------------- --------- +
