    + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
    |               Plain recursion1 |               Plain recursion2 |                Plain iterative |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  n | sol            count  cpu time | sol            count  cpu time | sol            count  cpu time |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  1 |   1                2 1.196e-06 |   1                2 1.671e-06 |   1                6 5.560e-07 |
  2 |   2                3 1.058e-06 |   2                3 7.870e-07 |   2                9 6.010e-07 |
  3 |   3                5 7.170e-07 |   3                5 6.550e-07 |   3               12 5.070e-07 |
  4 |   3                8 6.770e-07 |   3                8 6.980e-07 |   3               11 5.290e-07 |
  5 |   4               13 7.270e-07 |   4               12 6.800e-07 |   4               14 5.130e-07 |
  6 |   4               22 8.120e-07 |   4               20 8.180e-07 |   4               15 5.350e-07 |
  7 |   5               36 9.430e-07 |   5               33 9.310e-07 |   5               18 5.130e-07 |
  8 |   5               60 1.149e-06 |   5               55 1.127e-06 |   5               19 5.350e-07 |
  9 |   5              100 1.425e-06 |   5               91 1.410e-06 |   5               17 5.420e-07 |
 10 |   6              167 1.890e-06 |   6              150 3.648e-06 |   6               20 1.430e-06 |
 11 |   6              279 4.719e-06 |   6              249 3.448e-06 |   6               21 7.450e-07 |
 12 |   6              465 5.952e-06 |   6              415 4.354e-06 |   6               22 6.160e-07 |
 13 |   7              777 5.536e-06 |   7              692 5.200e-06 |   7               25 5.500e-07 |
 14 |   7             1297 1.461e-05 |   7             1153 7.967e-06 |   7               26 5.710e-07 |
 15 |   7             2165 1.597e-05 |   7             1923 1.276e-05 |   7               27 5.410e-07 |
 16 |   7             3614 2.202e-05 |   7             3207 2.055e-05 |   7               24 6.270e-07 |
 17 |   8             6031 3.833e-05 |   8             5347 3.349e-05 |   8               27 5.460e-07 |
 18 |   8            10065 6.208e-05 |   8             8918 5.577e-05 |   8               28 5.760e-07 |
 19 |   8            16795 1.013e-04 |   8            14874 9.199e-05 |   8               29 5.300e-07 |
 20 |   8            28024 1.647e-04 |   8            24812 1.667e-04 |   8               30 1.922e-06 |
 21 |   9            46758 3.190e-04 |   9            41388 3.006e-04 |   9               33 1.480e-06 |
 22 |   9            78011 4.816e-04 |   9            69040 4.539e-04 |   9               34 1.151e-06 |
 23 |   9           130089 8.087e-04 |   9           115171 7.403e-04 |   9               35 1.110e-06 |
 24 |   9           216968 1.331e-03 |   9           192124 1.224e-03 |   9               36 7.150e-07 |
 25 |   9           359706 2.136e-03 |   9           320497 2.005e-03 |   9               32 6.450e-07 |
 26 |  10           597823 3.566e-03 |  10           534647 3.328e-03 |  10               35 7.000e-07 |
 27 |  10           995046 6.098e-03 |  10           891872 5.598e-03 |  10               36 6.470e-07 |
 28 |  10          1655498 9.854e-03 |  10          1483987 9.277e-03 |  10               37 6.400e-07 |
 29 |  10          2757259 1.667e-02 |  10          2471688 1.563e-02 |  10               38 9.850e-07 |
 30 |  10          4593012 2.752e-02 |  10          4117456 2.593e-02 |  10               39 8.310e-07 |
 31 |  11          7651017 4.514e-02 |  11          6859871 4.323e-02 |  11               42 7.890e-07 |
 32 |  11         12747967 7.492e-02 |  11         11432554 7.217e-02 |  11               43 8.020e-07 |
 33 |  11         21239691 1.310e-01 |  11         19051890 1.195e-01 |  11               44 9.590e-07 |
 34 |  12         35390165 2.195e-01 |  12         31744860 1.984e-01 |  12               48 1.008e-06 |
 35 |  12         58969547 3.611e-01 |  12         52897235 3.382e-01 |  12               50 1.030e-06 |
 36 |  12         98258424 5.876e-01 |  12         88143972 5.459e-01 |  12               52 1.062e-06 |
 37 |  13        163727428 9.879e-01 |  13        146874304 9.100e-01 |  13               56 1.135e-06 |
 38 |  13        272817267 1.585e+00 |  13        244738097 1.504e+00 |  13               57 9.310e-07 |
 39 |  13        454593881 2.656e+00 |  13        407807248 2.498e+00 |  13               59 1.029e-06 |
 40 |  14        757489987 4.529e+00 |  14        679530817 4.300e+00 |  14               63 1.062e-06 |
 41 |  14       1262204160 7.592e+00 |  14       1132304623 7.142e+00 |  14               65 1.031e-06 |
 42 |  14       2114047092 1.306e+01 |  14       1886760619 1.207e+01 |  14               66 1.060e-06 |
